Ticari Isim,Etken Madde,Formulasyon
AKBASH 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
AMALINE (İTHAL),"266,6 g/l Metalik bakıra eşdeğer bazik bakır sülfat + 40 g/l Zoxamide",SC (Akıcı Konsantre/Süspansiyon Konsantre)
GOLTİX 700 SC (İTHAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
GOGGLES 500 SC (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FORBYFOR 60 SL (İTHAL),60 g/l Dichlorprop-P,SL (Suda Çözünen Konsantre)
SAFA ABİDE (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MUTİNY SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
TRANCE 5 EC (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
Kitinex 5 EC (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
AVANTİ EC (İMAL),150 g/l Indoxacarb,EC (Emülsiye Olabilen Konsantre)
TARDIS 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
BANAX (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
PREV-AM (İTHAL),60 g/l Orange oil,SL (Suda Çözünen Konsantre)
HEKTAŞ ARKAZ (İMAL),500 g/l Pirimiphos methyl,EC (Emülsiye Olabilen Konsantre)
ARBALET (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PRİCKLE 10 EC (İMAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre)
HEKTAŞ ZODIAC (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HEKTAŞ CHOOSE (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre)
MGPHOS AL DP 56% (İTHAL),%56 Aluminium phosphide,DP (Toz)
Mosqill 30 SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SEEDRON® (İTHAL),50 g/l Fludioxonil + 10 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
LEDA S 915 EC (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre)
FESTAN (İMAL),"%37,5 Cyprodinil + %25 Fludioxonil",WG (Suda Dağılabilen Granül)
SANATRA FLOW (İTHAL),400 g/l Propyzamide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LENABOOM (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre)
HEKTAŞ LOGOS (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre)
KASTORİA SC (İMAL),310 g/l Thiophanate-methyl + 187 g/l Epoxiconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CALAMITY (İMAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül)
COMMANDER 441 SL (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre)
SLENDER (İMAL),200 g/l Boscalid + 100 g/l Kresoxim-methyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BADGER 70 WP (İTHAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
METAM FLUİD (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
FRUGAL 35 WG (İMAL),%35 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül)
TESMAR 36 SL (İTHAL),360 g/l Hymexazole,SL (Suda Çözünen Konsantre)
FANTOS 10 SC (İTHAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KUDOS 38 WG (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
TORPADE 480 SL (İTHAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
BOXER 441 SL (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre)
AMADEUS 200 SL (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
SELTIMA (İTHAL),100 g/l Pyraclostrobin,CS (Kapsül Süspansiyon)
ORİGAM FS (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre)
MORNA (İMAL),%25 Tebuconazole,WP (Islanabilir Toz)
DE PORTİVO (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
TRANSOL (İMAL),350 g/l Metalik bakıra eşdeğer bakır hidroksit,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MONDEO 300 SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ALCORON (İMAL),%75 Metalik bakıra eşdeğer bakır oksit,WG (Suda Dağılabilen Granül)
COTOLİNT 500 SC (İTHAL),500 g/l Fluometuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DELAXTORE 200 SL (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
TIFIS WG (İMAL),"%3 Mesosulfuron-methyl + %0,6 Iodosulfuron-methyl sodium + %9 Mefenpeyr-diethyl (safener)",WG (Suda Dağılabilen Granül)
EMTOİ CS (İTHAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon)
ACTİVUS ® (İTHAL),75 g/l Fluxapyroxad + 50 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NEEMARİN (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
ERATİS 48 SL (İTHAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
GENAGRO ZAPATA (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
HEKTAŞ BİELLA (İMAL),200 g/l Pyrimethanil + 125 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SAFA KALİBRE (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon)
MARİTİMA MAX (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MEVAXIL BAKIR SC (İTHAL),259 g/l Metalik bakıra eşdeğer bakır hidroksit + 49 g/l Metalaxyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MOLTOVIN 225 SC (İTHAL),190 g/l Metalik Bakıra eşdeğer bazik bakır sülfat + 35 g/l Cymoxanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TAZER XPERT 111 SC (İTHAL),"80 g/l Azoxystrobin + 31,25 g/l Epoxiconazole",SC (Akıcı Konsantre/Süspansiyon Konsantre)
"REQUİNTO SC 687,5 (İMAL)","625 g/l Propamocarb-hydrochloride + 62,5 g/l Fluopicolide",SC (Akıcı Konsantre/Süspansiyon Konsantre)
KAZUYA (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
PUERTO SC 100 (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MUKTI 325 SC (İTHAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ARPİMA (İMAL),480 g/l Ethephon + 60 g/l Cyclanilide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PENOLAM (İMAL),"25,2 g/l Penoxsulam",OD (Yağda Dağılabilen)
MEC-SUN (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
TROLL 50 EW (İMAL),50 g/l Quizalofop-p-ethyl,"EW (Emülsiyon, Suda Yağ)"
SERIFEL (İTHAL),Bacillus amyloliquefaciens ırkı MBI 600 >5.5x10 üzeri 10 cfu/g,WP (Islanabilir Toz)
HEADLİNE MAX (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL SULFUR 800 SC (İMAL),800 g/l Kükürt,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AMPEXIO (İTHAL),%25 Mandipropamid + %24 Zoxamide,WG (Suda Dağılabilen Granül)
HERBOV SG 25 (İMAL),%25 Rimsulfuron,SG (Suda Çözünen Granül)
MİDORİ (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
HEKTAŞ BRİO® (İMAL),240 g/l Metaflumizone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SIMIRNA-X (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
BELTANOL L (İTHAL),500 g/l 8- Hydroxyquinoline sulphate,SL (Suda Çözünen Konsantre)
FASTEN SC 240 (İMAL),240 g/l Spirodiclofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HEKTAŞ MİTRAL WG (İMAL),%60 Fosetyl-Al + %4 Famoxadone,WG (Suda Dağılabilen Granül)
HEKTAŞ PLUTO WG (İMAL),"%45,6 Cymoxanil + %15 Trifloxystrobin",WG (Suda Dağılabilen Granül)
HEGEL (İTHAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül)
VACATE (İMAL),%40 Iminoctadine tris (albesilate),WP (Islanabilir Toz)
SUNPIRNE 500 SC (İMAL),500 g/l Dodine,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EUMİDAN (İMAL),%50 Captan,WP (Islanabilir Toz)
KORTAC 100 SC (İMAL),100 g/l Alpha-cypermethrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SOLEMNİTY (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
NANTES (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre)
DE CAPITAN (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
ASTANA (İMAL),50 g/l Hexythiazox,EC (Emülsiye Olabilen Konsantre)
CLASH 10 SC (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CAPE (İTHAL),%50 Propyzamide,WP (Islanabilir Toz)
FLUXİA (İMAL),100 g/l Penconazole,EC (Emülsiye Olabilen Konsantre)
FORCING (İMAL),%30 Foramsulfuron + %1 Iodosulfuron methyl-sodium + %30 Isoxadifen-ethyl (safener),WG (Suda Dağılabilen Granül)
BROTHER 45 EC (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
KAPAR AMS-TML (İMAL),2 g Trimedlure/dispenser + Delta tipi tuzak,--- (-)
RİMİNİ XL (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ARIAS (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
KIMROT (İMAL),250 g/l Glyphosate asite eşdeğer Glyphosate Isopropylamin Tuzu + 40 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ACCARO (İMAL),100 g/l Pyriproxyfen,"EW (Emülsiyon, Suda Yağ)"
TEPRAUND 400 SC (İMAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KAPAR RPW (İMAL),700 mg (630 mg 4-methyl-5-nonanol) + (70 mg 4-methyl-5-nonanone)/dispenser + İskandinav tipi üç hunili tuzak + Kova tipi tuzak,--- (-)
CORİANA (İMAL),480 g/l Ethephon,SL (Suda Çözünen Konsantre)
BİOHERB 200 EC (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
ABG MEK 1.8 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
NISSOMITE (İMAL),50 g/l Hexythiazox,EC (Emülsiye Olabilen Konsantre)
WANTOS SC (İTHAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SUNABERON 75 WG (İTHAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül)
PUTİN (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BONİTA (İMAL),50 g/l Quizalofop-p-ethyl,EC (Emülsiye Olabilen Konsantre)
EMSORRİN (İTHAL),50 g/l Hexythiazox,EC (Emülsiye Olabilen Konsantre)
FARMOL 500 EC (İTHAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
PHILABUSTER 400 SC (İTHAL),200 g/l Imazalil + 200 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BEST CAPTAN ® 500 (İMAL),500 g/l Captan,FL (Akıcı Konsantre/Süspansiyon Konsantre)
MOONDRYKE OD (İMAL),"25,2 g/l Penoxsulam",OD (Yağda Dağılabilen)
SARON SL (İMAL),"344 g/l 2,4-D asite eşdeğer dimethyl amonyum tuzu + 120 g/l Dicamba",SL (Suda Çözünen Konsantre)
LIMITLESS (İMAL),"%3 Mesosulfuron-methyl + %0,6 Iodosulfuron-methyl sodium + %9 Mefenpeyr-diethyl (safener)",WG (Suda Dağılabilen Granül)
PUTİNOS (İMAL),450 g/l Prochloraz,EC (Emülsiye Olabilen Konsantre)
MAPA (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
HEROK-E 400 SC (İMAL),420 g/l Bispyribac Sodium,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ANBİMEX (İMAL),"85 g/l Pyraclostrobin + 62,5 g/l Epoxiconazole",SE (Suspo-Emülsiyon)
ALTİVAX (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
DİVERİA (İMAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül)
AHSARDOP 330 EC (İTHAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
ZİFARM 76 WG (İMAL),%76 Ziram,WG (Suda Dağılabilen Granül)
CASTA (İTHAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
STRIDER (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
POTENSY® 200 EC (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
MENTA ANJELİK (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ABG ROND® 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
TARHUNE® 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
TAVLON® (İMAL),%70 Metribuzin,WP (Islanabilir Toz)
CODLET® (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
AGROPURE 400 SC (İTHAL),400 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CABBAR 45 EC (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
DOMINUS (İTHAL),963 g/l Allyl Isothiocyanate,EC (Emülsiye Olabilen Konsantre)
BESTOPİK®240 EC (İMAL),240 g/l Clodinafop-propargyl + 60 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
SUNHALOP 200 EC (İTHAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
CASTELON (İMAL),%55 Metiram + %5 Pyraclostrobin,WG (Suda Dağılabilen Granül)
AGROBETA 500 SC (İTHAL),500 g/l Thiabendazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
UDİMO® 75 WG (İTHAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül)
CONDUCT 45 EC (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
ASTRANUR SL (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre)
EMADRİS (İTHAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NANDO 500 SC (İTHAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SENTİNO (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
GENAGRO BORDO 20 WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
PAGOS 10 G (İMAL),%10 Fosthiazate,GR (Granül)
SANCLEZ (İTHAL),240 g/l Clethodim,EC (Emülsiye Olabilen Konsantre)
FUMIGAS % 57 TB (İTHAL),%57 Aluminium phosphide,TB (Tablet)
FUMIGAS % 57 DP (İTHAL),%57 Aluminium phosphide,DP (Toz)
ALLOWİN (İTHAL),%4 Metaldehyde,GB (Granül Yem)
EMPİNA 75 DF (İTHAL),%75 Tribenuron-methyl,DF (Kuru Akışkan)
SALDECO SC (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KAUS WG (İMAL),"%37,5 Cyprodinil + %25 Fludioxonil",WG (Suda Dağılabilen Granül)
VOLTRAN (İMAL),500 g/l Metrafenone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AXİAL 050 EC (İTHAL),"50 g/l Pinoxaden + 12,5 g/l Cloquintocet-mexyl (Safener)",EC (Emülsiye Olabilen Konsantre)
TRAXOS 050 EC (İTHAL),"25 g/l Clodinafop-propargyl + 25 g/l Pinoxaden + 6,25 g/l Cloquintocet-mexyl (safener)",EC (Emülsiye Olabilen Konsantre)
WHEATER ™ 45 OD (İTHAL),45 g/l Pyroxsulam + 90 g/l Cloquintocet-mexyl (safener),OD (Yağda Dağılabilen)
ADİTYA (İTHAL),240 g/l Spirodiclofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MİNNA (İTHAL),450 g/l Prochloraz,EC (Emülsiye Olabilen Konsantre)
TEZULAM XL 035 FS (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
KORMİNEE 400 SC (İMAL),420 g/l Bispyribac Sodium,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VEPCOPPER 50 WP (İMAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WP (Islanabilir Toz)
EFDAL BLUEGİB TABLET (İTHAL),1 g/tb Gibberellic Acid,TB (Tablet)
TAN GÖZTAŞI (İMAL),%25 Metalik bakıra eşdeğer bakır sülfat,CR (Kristal)
BORDOTAN 20 WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
ULTIO PRO SC 765 (İMAL),720 g/l Ethephon + 45 g/l Cyclanilide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KAMOS (İMAL),250 g/l Pyraclostrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EMPRİN (İTHAL),%35 Metalaxyl,DS (Kuru Tohum İlacı)
BORDOGEN 20 WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
INTEGRANIL (İMAL),500 g/l Pyridalyl,EC (Emülsiye Olabilen Konsantre)
CYPLAN 500 EC (İTHAL),500 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre)
VENİTRO 100 SC (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KAPAR ORTERO (İMAL),1500 mg Methyl butenol +100 mg Cis-verbenol + 30 mg Ipsdienol/Dispenser + İskandinav Tipi Üç Hunili Tuzak,--- (-)
HEKTAŞ AKTOR® (İMAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
HEKTAŞ GAUSS (İMAL),720 g/l Ethephon + 45 g/l Cyclanilide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CEPHEUS (İMAL),50 g/l Quizalofop-p-ethyl,"EW (Emülsiyon, Suda Yağ)"
KORTE 50 WP (İMAL),%50 Propyzamide,WP (Islanabilir Toz)
VERGASA ESTER (İMAL),"480 g/l 2,4-D asite eşdeğer Isooctylester",EC (Emülsiye Olabilen Konsantre)
GENAGRO BOLİVAR 116 EC (İMAL),"116,2 g/l Clethodim",EC (Emülsiye Olabilen Konsantre)
CROWN (İMAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre)
PELE SC (İMAL),200 g/l Boscalid + 100 g/l Kresoxim-methyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FORAX (İMAL),100 g/l Amidosulfuron + 25 g/l Iodosulfuron-methyl sodium + 250 g/l Mefenpyr-diethyl (safener),OD (Yağda Dağılabilen)
FENSİN (İMAL),480 g/l Ethephon + 60 g/l Cyclanilide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MUZIC (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
MAHAAN (İTHAL),"%3,3 1-Methylcyclopropene",VP (Gaz Neşreden İlaç)
UNISAFE (İTHAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BREAKER™ 240 SC (İTHAL),240 g/l Sulfoxaflor,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EXPERT TEAM WG (İMAL),"%39,75 Metalik bakıra eşdeğer bakır oksiklorid + %4,2 Cymoxanil",WG (Suda Dağılabilen Granül)
KAARDON (İMAL),%50 Kresoxim-methyl,WG (Suda Dağılabilen Granül)
YANKEE WG (İMAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül)
KROSVE ® 80 WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
BURRSON (İMAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
LAVİA (İMAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül)
FONDET 4F (İMAL),480 g/l Oxyfluorfen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ACS PIDABEN M (İMAL),250 g/l Bentazone + 125 g/l MCPA,SL (Suda Çözünen Konsantre)
CEREX AMINE (İTHAL),"500 g/l 2,4-D asite eşdeğer dimethyl amin tuzu",SL (Suda Çözünen Konsantre)
BALATON (İTHAL),50 g/l Quizalofop-p-ethyl,EC (Emülsiye Olabilen Konsantre)
GENAGRO PATROL 62.5 WG (İMAL),"%37,5 Cyprodinil + %25 Fludioxonil",WG (Suda Dağılabilen Granül)
TRIANUM P (İTHAL),"Trichoderma harzianum Rifai Strain T22,1x10 üzeri 9 CFU/g",WG (Suda Dağılabilen Granül)
DALLAS BORDO (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
EMESTO SILVER FS 118 (İTHAL),100 g/l Penflufen + 18 g/l Prothioconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
PARROT EC (İMAL),250 g/l Bupirimate,EC (Emülsiye Olabilen Konsantre)
SOLIGOR ® EC 425 (İMAL),224 g/l Spiroxamine + 148 g/l Tebuconazole + 53 g/l Prothioconazole,EC (Emülsiye Olabilen Konsantre)
KETRON (İMAL),%60 Bensulfuron-methyl,WG (Suda Dağılabilen Granül)
CAMIGRO (İMAL),%50 Dicamba + %25 Tritosulfuron,WG (Suda Dağılabilen Granül)
MANTRA (İMAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
BREVİS (İTHAL),%15 Metamitron,SG (Suda Çözünen Granül)
GALMANO FS 167 (İTHAL),167 g/l Fluquinconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
PAY GİBB (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
CHEVİTA 30 SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EMOAL (İTHAL),240 g/l Oxyfluorfen,EC (Emülsiye Olabilen Konsantre)
HARVISTA ™ 1.3 SC (İTHAL),"17,15 g/l 1-Methylcyclopropene (1-MCP)",SC (Akıcı Konsantre/Süspansiyon Konsantre)
ACS TIRAM FORTE (İMAL),%80 Thiram,WP (Islanabilir Toz)
TRIPP 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
KARIA 20 WP (İMAL),%20 Tebufenpyrad,WP (Islanabilir Toz)
FORNAKS (İTHAL),240 g/l Clethodim,EC (Emülsiye Olabilen Konsantre)
POLYAS (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre)
Kozagri (İMAL),720 g/l Ethephon,SL (Suda Çözünen Konsantre)
HOCKEY XL 035 FS (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
HEKTAŞ LETO (İMAL),250 g/l Carfentrazone-ethyl,"EW (Emülsiyon, Suda Yağ)"
HEKTAŞ GENESİSS (İMAL),200 g/l Carfentrazone-ethyl + 30 g/l Diuron,SE (Suspo-Emülsiyon)
NANOCOP SC (İMAL),"357,5 g/l Metalik bakıra eşdeğer bakır oksiklorid",SC (Akıcı Konsantre/Süspansiyon Konsantre)
MELİTHORİN 150 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
AMPREX (İMAL),"33,7 g/l Abamectin",EC (Emülsiye Olabilen Konsantre)
FASCINATE (İTHAL),280 g/l Glufosinate-ammonium,SL (Suda Çözünen Konsantre)
HEKTAŞ MESSOR® (İMAL),%55 Metiram + %5 Pyraclostrobin,WG (Suda Dağılabilen Granül)
MERTECT® 230 SC (İTHAL),230 g/l Fludioxonil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ATLANTİS STAR WG 21.15 (İTHAL),"%4,5 Mesosulfuron-methyl + %2,25 Thiencarbazone-methyl + %0,9 Iodosulfuron-methyl-sodium + %13,5 Mefenpyr-diethyl (safener)",WG (Suda Dağılabilen Granül)
SPARK (İTHAL),%50 Fenpyrazamine,WG (Suda Dağılabilen Granül)
EFDAL MAGİCPRO (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
PANAROMA 45 EC (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
Genagro Sakai 450 CS (İTHAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon)
ACS MOXRAM WG (İMAL),"%57 Metiram + %4,8 Cymoxanil",WG (Suda Dağılabilen Granül)
KAPAR ZS (İMAL),"50 mg (1,7)-Dioxaspiro (5,5) undecane + 70 g Carbonic acid/ Disp. + Sarı Yapışkan Tuzak",--- (-)
HEKTAŞ SARRİTOR (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
DIFERE (İTHAL),350 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ACS LEYZIR 48 SC (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CRANN M EW (İMAL),75 g/l Fenoxaprop-p-ethyl + 69 g/l Mefenpyr-diethyl (safener),"EW (Emülsiyon, Suda Yağ)"
EMAGAREN (İTHAL),%80 Thiram,WP (Islanabilir Toz)
CARNA M (İMAL),340 g/l MCPA + 80 g/l Dicamba,SL (Suda Çözünen Konsantre)
